Date,Country,City,co,pm10,pm25
6/5/2020,HK,Hong Kong,5.2,12,35
7/5/2020,HK,Hong Kong,5.5,11,32
8/5/2020,HK,Hong Kong,5.4,9,25
9/5/2020,HK,Hong Kong,4.8,10,23
10/5/2020,HK,Hong Kong,5.2,11,28
11/5/2020,HK,Hong Kong,6,20,50
12/5/2020,HK,Hong Kong,6.2,24,66
13/5/2020,HK,Hong Kong,6.9,40,90
14/5/2020,HK,Hong Kong,5.3,32,59
15/5/2020,HK,Hong Kong,5.3,22,52
16/5/2020,HK,Hong Kong,4.7,13,29
