Date,Country,City,co,pm10,pm25
6/5/2020,NZ,Christchurch,3.6,10,30
7/5/2020,NZ,Christchurch,4.2,22,54
8/5/2020,NZ,Christchurch,3.4,22,40
9/5/2020,NZ,Christchurch,3.2,15,23
10/5/2020,NZ,Christchurch,3.2,14,25
11/5/2020,NZ,Christchurch,3.2,15,23
12/5/2020,NZ,Christchurch,3.3,20,35
13/5/2020,NZ,Christchurch,3.4,15,38
14/5/2020,NZ,Christchurch,3.6,18,34
15/5/2020,NZ,Christchurch,3.2,17,28
16/5/2020,NZ,Christchurch,3.9,25,56
